Field Name,Description,Symbol,Notes
``radii``,Radial coordinate grid,:math:`r`,
``gas_density``,Gas density profile,:math:`\rho_{\mathrm{gas}}(r)`,
``stellar_density``,Stellar density profile,:math:`\rho_\star(r)`,
``total_density``,Total density profile,:math:`\rho_{\mathrm{tot}}(r)`,
``dark_matter_density``,Dark matter density profile,:math:`\rho_{\mathrm{DM}}(r)`,
``gas_mass``,Enclosed gas mass,:math:`M_{\mathrm{gas}}(<r)`,
``stellar_mass``,Enclosed stellar mass,:math:`M_\star(<r)`,
``total_mass``,Enclosed total mass,:math:`M_{\mathrm{tot}}(<r)`,
``dark_matter_mass``,Enclosed dark matter mass,:math:`M_{\mathrm{DM}}(<r)`,
``gravitational_field``,Gravitational acceleration,:math:`g(r)`,
``gravitational_potential``,Gravitational potential,:math:`\Phi(r)`,
``pressure``,Gas pressure profile,:math:`P(r)`,
``pressure_thermal``,Thermal gas pressure,:math:`P_{\rm thermal}(r)`,
``pressure_magnetic``,Magnetic pressure,:math:`P_{\rm magnetic}(r)`,
``temperature``,Gas temperature profile,:math:`T(r)`,
``electron_density``,Electron number density,:math:`n_e(r)`,
``entropy``,Entropy profile,:math:`K(r)`,
``sound_speed``,Adiabatic sound speed,:math:`c_s(r)`,
``baryon_fraction``,Baryonic mass fraction,:math:`M_{\rm bary} / M_{\rm tot}`,
``magnetic_field``,Magnetic field strength,:math:`B(r)`,
``alfven_velocity``,Alfvén velocity,:math:`v_A(r)`,
``beta_parameter``,Plasma beta (thermal / magnetic pressure),:math:`\beta(r)`,
